Name ,Content,Collection,Year of Publication
A Dream Pang,"I had withdrawn in forest, and my song
Was swallowed up in leaves that blew alway;
And to the forest edge you came one day
(This was my dream) and looked and pondered long,
But did not enter, though the wish was strong:
You shook your pensive head as who should say,
‘I dare not—too far in his footsteps stray—
He must seek me would he undo the wrong.’
Not far, but near, I stood and saw it all
Behind low boughs the trees let down outside;
And the sweet pang it cost me not to call
And tell you that I saw does still abide.
But ’tis not true that thus I dwelt aloof,
For the wood wakes, and you are here for proof.",A boy's Will,1913
In Neglect,"They leave us so to the way we took,
As two in whom them were proved mistaken,
That we sit sometimes in the wayside nook,
With mischievous, vagrant, seraphic look,
And try if we cannot feel forsaken.",A boy's Will,1913
Going For Water,"The well was dry beside the door,
And so we went with pail and can
Across the fields behind the house
To seek the brook if still it ran;
Not loth to have excuse to go,
Because the autumn eve was fair
(Though chill), because the fields were ours,
And by the brook our woods were there.
We ran as if to meet the moon
That slowly dawned behind the trees,
The barren boughs without the leaves,
Without the birds, without the breeze.
But once within the wood, we paused
Like gnomes that hid us from the moon,
Ready to run to hiding new
With laughter when she found us soon.
Each laid on other a staying hand
To listen ere we dared to look,
And in the hush we joined to make
We heard, we knew we heard the brook.
A note as from a single place,
A slender tinkling fall that made
Now drops that floated on the pool
Like pearls, and now a silver blade.",A boy's Will,1913
Revelation,"We make ourselves a place apart
Behind light words that tease and flout,
But oh, the agitated heart
Till someone find us really out.
’Tis pity if the case require
(Or so we say) that in the end
We speak the literal to inspire
The understanding of a friend.
But so with all, from babes that play
At hide-and-seek to God afar,
So all who hide too well away
Must speak and tell us where they are.",A boy's Will,1913
The Trial by Existence,"Even the bravest that are slain
Shall not dissemble their surprise
On waking to find valor reign,
Even as on earth, in paradise;
And where they sought without the sword
Wide field of asphodel fore’er,
To find that the utmost reward
Of daring should be still to dare. 
The light of heaven falls whole and white
And is not shattered into dyes,
The light for ever is morning light;
The hills are verdured pasture-wise;
The angel hosts with freshness go,
And seek with laughter what to brave;—
And binding all is the hushed snow
Of the far-distant breaking wave. 
And from a cliff-top is proclaimed
The gathering of the souls for birth,
The trial by existence named,
The obscuration upon earth.
And the slant spirits trooping by
In streams and cross- and counter-streams
Can but give ear to that sweet cry
For its suggestion of what dreams!
And the more loitering are turned 
To view once more the sacrifice
Of those who for some good discerned
Will gladly give up paradise.
And a white shimmering concourse rolls
Toward the throne to witness there
The speeding of devoted souls
Which God makes his especial care.
And none are taken but who will,
Having first heard the life read out
That opens earthward, good and ill,
Beyond the shadow of a doubt;
And very beautifully God limns,
And tenderly, life’s little dream,
But naught extenuates or dims,
Setting the thing that is supreme. 
Nor is there wanting in the press
Some spirit to stand simply forth,
Heroic in its nakedness,
Against the uttermost of earth.
The tale of earth’s unhonored things
Sounds nobler there than ’neath the sun;
And the mind whirls and the heart sings,
And a shout greets the daring one.
But always God speaks at the end:
‘One thought in agony of strife
The bravest would have by for friend,
The memory that he chose the life;
But the pure fate to which you go
Admits no memory of choice,
Or the woe were not earthly woe
To which you give the assenting voice.’
And so the choice must be again,
But the last choice is still the same;
And the awe passes wonder then,
And a hush falls for all acclaim.
And God has taken a flower of gold
And broken it, and used therefrom
The mystic link to bind and hold 
Spirit to matter till death come.
’Tis of the essence of life here,
Though we choose greatly, still to lack
The lasting memory at all clear,
That life has for us on the wrack
Nothing but what we somehow chose;
Thus are we wholly stripped of pride
In the pain that has but one close,
Bearing it crushed and mystified. ",A boy's Will,1913
In Equal Sacrifice,"Thus of old the Douglas did:
He left his land as he was bid
With the royal heart of Robert the Bruce
In a golden case with a golden lid,
To carry the same to the Holy Land;
By which we see and understand
That that was the place to carry a heart
At loyalty and love’s command,
And that was the case to carry it in.
The Douglas had not far to win
Before he came to the land of Spain,
Where long a holy war had been
Against the too-victorious Moor;
And there his courage could not endure
Not to strike a blow for God
Before he made his errand sure.
And ever it was intended so,
That a man for God should strike a blow,
No matter the heart he has in charge
For the Holy Land where hearts should go.
But when in battle the foe were met,
The Douglas found him sore beset,
With only strength of the fighting arm
For one more battle passage yet—
And that as vain to save the day
As bring his body safe away—
Only a signal deed to do
And a last sounding word to say.
The heart he wore in a golden chain
He swung and flung forth into the plain,
And followed it crying ‘Heart or death!’
And fighting over it perished fain.
So may another do of right,
Give a heart to the hopeless fight,
The more of right the more he loves;
So may another redouble might
For a few swift gleams of the angry brand,
Scorning greatly not to demand
In equal sacrifice with his
The heart he bore to the Holy Land.",A boy's Will,1913
The Tufts of Flowers,"I went to turn the grass once after one
Who mowed it in the dew before the sun.
The dew was gone that made his blade so keen
Before I came to view the levelled scene.
I looked for him behind an isle of trees;
I listened for his whetstone on the breeze.
But he had gone his way, the grass all mown,
And I must be, as he had been,—alone,
‘As all must be,’ I said within my heart,
‘Whether they work together or apart.’
But as I said it, swift there passed me by
On noiseless wing a ‘wildered butterfly,
Seeking with memories grown dim o’er night
Some resting flower of yesterday’s delight.
And once I marked his flight go round and round,
As where some flower lay withering on the ground.
And then he flew as far as eye could see,
And then on tremulous wing came back to me.
I thought of questions that have no reply,
And would have turned to toss the grass to dry;
But he turned first, and led my eye to look
At a tall tuft of flowers beside a brook,
A leaping tongue of bloom the scythe had spared
Beside a reedy brook the scythe had bared.
I left my place to know them by their name,
Finding them butterfly weed when I came.
The mower in the dew had loved them thus,
By leaving them to flourish, not for us,
Nor yet to draw one thought of ours to him.
But from sheer morning gladness at the brim.
The butterfly and I had lit upon,
Nevertheless, a message from the dawn,
That made me hear the wakening birds around,
And hear his long scythe whispering to the ground,
And feel a spirit kindred to my own;
So that henceforth I worked no more alone;
But glad with him, I worked as with his aid,
And weary, sought at noon with him the shade;
And dreaming, as it were, held brotherly speech
With one whose thought I had not hoped to reach.
‘Men work together,’ I told him from the heart,
‘Whether they work together or apart.’",A boy's Will,1913
Spoils of the Dead,"Two fairies it was
On a still summer day
Came forth in the woods
With the flowers to play.
The flowers they plucked
They cast on the ground
For others, and those
For still others they found.
Flower-guided it was
That they came as they ran
On something that lay
In the shape of a man.
The snow must have made
The feathery bed
When this one fell
On the sleep of the dead. 
But the snow was gone
A long time ago,
And the body he wore
Nigh gone with the snow. 
The fairies drew near
And keenly espied
A ring on his hand
And a chain at his side.
They knelt in the leaves
And eerily played
With the glittering things,
And were not afraid.
And when they went home
To hid in their burrow,
They took them along
To play with to-morrow.
When you came on death,
Did you not come flower-guided
Like the elves in the wood?
I remember that I did.
But I recognised death
With sorrow and dread,
And I hated and hate
The spoils of the dead.",A boy's Will,1913
Pan with Us,"Pan came out of the woods one day,—
His skin and his hair and his eyes were gray,
The gray of the moss of walls were they,—
And stood in the sun and looked his fill
At wooded valley and wooded hill.
He stood in the zephyr, pipes in hand,
On a height of naked pasture land;
In all the country he did command
He saw no smoke and he saw no roof.
That was well! And he stamped a hoof.
He heart knew peace, for none came here
To this lean feeding save once a year
Someone to salt the half-wild steer,
Or homespun children with clicking pails
Who see so little they tell no tales.
He tossed his pipes, too hard to teach
A new-world song, far out of reach,
For a sylvan sign that the blue jay’s screech
And the whimper of hawks beside the sun
Were music enough for him, for one.
Times were changed from what they were:
Such pipes kept less of power to stir
The fruited bough of the juniper
And the fragile bluets clustered there
Than the merest aimless breath of air.
They were pipes of pagan mirth,
And the world had found new terms of worth.
He laid him down on the sun-burned earth
And ravelled a flower and looked away—
Play? Play?—What should he play?",A boy's Will,1913
The Demiurge's Laugh,"It was far in the sameness of the wood;
I was running with joy on the Demon’s trail,
Though I knew what I hunted was no true god.
It was just as the light was beginning to fail
That I suddenly heard—all I needed to hear:
It has lasted me many and many a year.
The wound was behind me instead of before,
A sleepy sound, but mocking half,
As of one who utterly couldn’t care.
The Demon arose from his wallow to laugh,
Brushing the dirt from his eye as he went;
And well I knew what the Demon meant.
I shall not forget how his laugh rang out.
I felt as a fool to have been so caught,
And checked my steps to make pretence
It was something among the leaves I sought
(Though doubtful whether he stayed to see).
Thereafter I sat me against a tree. ",A boy's Will,1913
Now Close the Windows,"Now close the windows and hush all the fields;
If the trees must, let them silently toss;
No bird is singing now, and if there is,
Be it my loss.
It will be long ere the marshes resume,
It will be long ere the earliest bird:
So close the windows and not hear the wind,
But see all wind-stirred. ",A boy's Will,1913
A line-storm Song,"The line-storm clouds fly tattered and swift, 
The road is forlorn all day, 
Where a myriad snowy quartz stones lift, 
And the hoof-prints vanish away. 
The roadside flowers, too wet for the bee,
Expend their bloom in vain. 
Come over the hills and far with me, 
And be my love in the rain. 
The birds have less to say for themselves 
In the wood-world’s torn despair
Than now these numberless years the elves, 
Although they are no less there: 
All song of the woods is crushed like some 
Wild, easily shattered rose. 
Come, be my love in the wet woods; come,
Where the boughs rain when it blows. 
There is the gale to urge behind 
And bruit our singing down, 
And the shallow waters aflutter with wind 
From which to gather your gown.    
What matter if we go clear to the west, 
And come not through dry-shod? 
For wilding brooch shall wet your breast 
The rain-fresh goldenrod. 
Oh, never this whelming east wind swells   
But it seems like the sea’s return 
To the ancient lands where it left the shells 
Before the age of the fern; 
And it seems like the time when after doubt 
Our love came back amain.      
Oh, come forth into the storm and rout 
And be my love in the rain.",A boy's Will,1913
My Butterfly,"Thine emulous fond flowers are dead, too,
And the daft sun-assaulter, he
That frighted thee so oft, is fled or dead:
Save only me
(Nor is it sad to thee!)
Save only me
There is none left to mourn thee in the fields.
The gray grass is not dappled with the snow;
Its two banks have not shut upon the river;
But it is long ago—
It seems forever—
Since first I saw thee flance,
With all the dazzling other ones,
In airy dalliance,
Precipitate in love,
Tossed, tangled, whirled and whirled above,
Like a limp rose-wreath in a fairy dance.
When that was, the soft mist
Of my regret hung not on all the land,
And I was glad for thee,
And glad for me, I wist.
Thou didst not know, who tottered, wandering on high,
That fate had made thee for the pleasure of the wind,
With those great careless wings,
Nor yet did I.
And there were other things:
It seemed God let thee flutter from his gentle clasp:
Then fearful he had let thee win
Too far beyond him to be gathered in,
Snatched thee, o'er eager, with ungentle grasp.
Ah! I remember me
How once conspiracty was rife
Against my life—
The languor of it and the dreaming fond;
Surging, the grasses dizzied me of thought,
The breeze three odors brought,
And a gem-flower waved in a wand!
Then when I was distraught
And could not speak,
Sidelong, full on my cheek,
What should that reckless zephyr fling
But the wild touch of thy dye-dusty wing!
I found that wing broken to-day!
For thou art dead, I said,
And the strange birds say.
I found it with the withered leaves
Under the eaves.",A boy's Will,1913
The Pasture,"I'm going out to clean the pasture spring;
I'll only stop to rake the leaves away
(And wait to watch the water clear, I may):
I sha'n't be gone long.—You come too.
I'm going out to fetch the little calf
That's standing by the mother. It's so young,
It totters when she licks it with her tongue.
I sha'n't be gone long.—You come too.",North of Boston,1914
The Death of the Hired Man,"Mary sat musing on the lamp-flame at the table
Waiting for Warren. When she heard his step,
She ran on tip-toe down the darkened passage
To meet him in the doorway with the news
And put him on his guard. ‘Silas is back.’
She pushed him outward with her through the door
And shut it after her. ‘Be kind,’ she said.
She took the market things from Warren’s arms
And set them on the porch, then drew him down
To sit beside her on the wooden steps.
‘When was I ever anything but kind to him?
But I’ll not have the fellow back,’ he said.
‘I told him so last haying, didn’t I?
If he left then, I said, that ended it.
What good is he? Who else will harbor him
At his age for the little he can do?
What help he is there’s no depending on.
Off he goes always when I need him most.
He thinks he ought to earn a little pay,
Enough at least to buy tobacco with,
So he won’t have to beg and be beholden.
“All right,” I say, “I can’t afford to pay
Any fixed wages, though I wish I could.”
“Someone else can.” “Then someone else will have to.”
I shouldn’t mind his bettering himself
If that was what it was. You can be certain,
When he begins like that, there’s someone at him
Trying to coax him off with pocket-money,—
In haying time, when any help is scarce.
In winter he comes back to us. I’m done.’
‘Sh! not so loud: he’ll hear you,’ Mary said.
‘I want him to: he’ll have to soon or late.’
‘He’s worn out. He’s asleep beside the stove.
When I came up from Rowe’s I found him here,
Huddled against the barn-door fast asleep,
A miserable sight, and frightening, too—
You needn’t smile—I didn’t recognize him—
I wasn’t looking for him—and he’s changed.
Wait till you see.’
‘Where did you say he’d been?’
‘He didn’t say. I dragged him to the house,
And gave him tea and tried to make him smoke.
I tried to make him talk about his travels.
Nothing would do: he just kept nodding off.’
‘What did he say? Did he say anything?’
‘But little.’
‘Anything? Mary, confess
He said he’d come to ditch the meadow for me.’
‘Warren!’
‘But did he? I just want to know.’
‘Of course he did. What would you have him say?
Surely you wouldn’t grudge the poor old man
Some humble way to save his self-respect.
He added, if you really care to know,
He meant to clear the upper pasture, too.
That sounds like something you have heard before?
Warren, I wish you could have heard the way
He jumbled everything. I stopped to look
Two or three times—he made me feel so queer—
To see if he was talking in his sleep.
He ran on Harold Wilson—you remember—
The boy you had in haying four years since.
He’s finished school, and teaching in his college.
Silas declares you’ll have to get him back.
He says they two will make a team for work:
Between them they will lay this farm as smooth!
The way he mixed that in with other things.
He thinks young Wilson a likely lad, though daft
On education—you know how they fought
All through July under the blazing sun,
Silas up on the cart to build the load,
Harold along beside to pitch it on.’
‘Yes, I took care to keep well out of earshot.’
‘Well, those days trouble Silas like a dream.
You wouldn’t think they would. How some things linger!
Harold’s young college boy’s assurance piqued him.
After so many years he still keeps finding
Good arguments he sees he might have used.
I sympathize. I know just how it feels
To think of the right thing to say too late.
Harold’s associated in his mind with Latin.
He asked me what I thought of Harold’s saying
He studied Latin like the violin
Because he liked it—that an argument!
He said he couldn’t make the boy believe
He could find water with a hazel prong—
Which showed how much good school had ever done him.
He wanted to go over that. But most of all
He thinks if he could have another chance
To teach him how to build a load of hay—’
‘I know, that’s Silas’ one accomplishment.
He bundles every forkful in its place,
And tags and numbers it for future reference,
So he can find and easily dislodge it
In the unloading. Silas does that well.
He takes it out in bunches like big birds’ nests.
You never see him standing on the hay
He’s trying to lift, straining to lift himself.’
‘He thinks if he could teach him that, he’d be
Some good perhaps to someone in the world.
He hates to see a boy the fool of books.
Poor Silas, so concerned for other folk,
And nothing to look backward to with pride,
And nothing to look forward to with hope,
So now and never any different.’
Part of a moon was falling down the west,
Dragging the whole sky with it to the hills.
Its light poured softly in her lap. She saw it
And spread her apron to it. She put out her hand
Among the harp-like morning-glory strings,
Taut with the dew from garden bed to eaves,
As if she played unheard some tenderness
That wrought on him beside her in the night.
‘Warren,’ she said, ‘he has come home to die:
You needn’t be afraid he’ll leave you this time.’
‘Home,’ he mocked gently.
‘Yes, what else but home?
It all depends on what you mean by home.
Of course he’s nothing to us, any more
Than was the hound that came a stranger to us
Out of the woods, worn out upon the trail.’
‘Home is the place where, when you have to go there,
They have to take you in.’
‘I should have called it
Something you somehow haven’t to deserve.’
Warren leaned out and took a step or two,
Picked up a little stick, and brought it back
And broke it in his hand and tossed it by.
‘Silas has better claim on us you think
Than on his brother? Thirteen little miles
As the road winds would bring him to his door.
Silas has walked that far no doubt today.
Why didn’t he go there? His brother’s rich,
A somebody—director in the bank.’
‘He never told us that.’
‘We know it though.’
‘I think his brother ought to help, of course.
I’ll see to that if there is need. He ought of right
To take him in, and might be willing to—
He may be better than appearances.
But have some pity on Silas. Do you think
If he’d had any pride in claiming kin
Or anything he looked for from his brother,
He’d keep so still about him all this time?’
‘I wonder what’s between them.’
‘I can tell you.
Silas is what he is—we wouldn’t mind him—
But just the kind that kinsfolk can’t abide.
He never did a thing so very bad.
He don’t know why he isn’t quite as good
As anyone. Worthless though he is,
He won’t be made ashamed to please his brother.’
‘I can’t think Si ever hurt anyone.’
‘No, but he hurt my heart the way he lay
And rolled his old head on that sharp-edged chair-back.
He wouldn’t let me put him on the lounge.
You must go in and see what you can do.
I made the bed up for him there tonight.
You’ll be surprised at him—how much he’s broken.
His working days are done; I'm sure of it.’
‘I’d not be in a hurry to say that.’
‘I haven’t been. Go, look, see for yourself.
But, Warren, please remember how it is:
He’s come to help you ditch the meadow.
He has a plan. You mustn’t laugh at him.
He may not speak of it, and then he may.
I’ll sit and see if that small sailing cloud
Will hit or miss the moon.’
It hit the moon.
Then there were three there, making a dim row,
The moon, the little silver cloud, and she.
Warren returned—too soon, it seemed to her,
Slipped to her side, caught up her hand and waited.
‘Warren,’ she questioned.
‘Dead,’ was all he answered.",North of Boston,1914
The Mountain,"The mountain held the town as in a shadow.
I saw so much before I slept there once:
I noticed that I missed stars in the west,
Where its black body cut into the sky.
Near me it seemed: I felt it like a wall
Behind which I was sheltered from a wind.
And yet between the town and it I found,
When I walked forth at dawn to see new things,
Were fields, a river, and beyond, more fields.
The river at the time was fallen away,
And made a widespread brawl on cobble-stones;
But the signs showed what it had done in spring;
Good grass-land gullied out, and in the grass
Ridges of sand, and driftwood stripped of bark.
I crossed the river and swung round the mountain.
And there I met a man who moved so slow
With white-faced oxen in a heavy cart,
It seemed no harm to stop him altogether.
'What town is this?' I asked.
'This? Lunenburg.'
Then I was wrong: the town of my sojourn,
Beyond the bridge, was not that of the mountain,
But only felt at night its shadowy presence.
'Where is your village? Very far from here?'
'There is no village- only scattered farms.
We were but sixty voters last election.
We can't in nature grow to many more:
That fling takes all the room!' He moved his goad.
The mountain stood there to be pointed at.
Pasture ran up the side a little way,
And then there was a wall of trees with trunks:
After that only tops of trees, and cliffs
Imperfectly concealed among the leaves.
A dry ravine emerged from under boughs
Into the pasture.
'That looks like a path.
Is that the way to reach the top from here? --
Not for this morning, but some other time:
I must be getting back to breakfast now.'
'I don't advise your trying from this side.
There is no proper path, but those that have
Been up, I understand, have climbed from Ladd's.
That's five miles back. You can't mistake the place:
They logged it there last winter some way up.
I'd take you, but I'm bound the other way.'
'You've never climbed it?'
'I've been on the sides
Deer-hunting and trout-fishing. There's a brook
That starts up on it somewhere -- I've heard say
Right on the top, tip-top -- a curious thing.
But what would interest you about the brook,
It's always cold in summer, warm in winter.
One of the great sights going is to see
It steam in winter like an ox's breath.
Until the bushes all along its banks
Are inch-deep with the frosty spines and bristles --
You know the kind. Then let the sun shine on it !'
'There ought to be a view around the world
>From such a mountain -- if it isn't wooded
Clear to the top.' I saw through leafy screens
Great granite terraces in sun and shadow,
Shelves one could rest a knee on getting up --
With depths behind him sheer a hundred feet;
Or turn and sit on and look out and down,
With little ferns in crevices at his elbow.
'As to that I can't say. But there's the spring,
Right on the summit, almost like a fountain.
That ought to be worth seeing.'
'If it's there....
You never saw it?'
'I guess there's no doubt
About its being there. I never saw it.
It may not be right on the very top:
It wouldn't have to be a long way down
To have some head of water from above,
And a good distance down might not be noticed
By anyone who'd come a long way up.
One time I asked a fellow climbing it
To look and tell me later how it was.'
'What did he say?'
'He said there was a lake
Somewhere in Ireland on a mountain top.'
'But a lake's different. What about the spring?'
'He never got up high enough to see.
That's why I don't advise your trying this side.
He tried this side. I've always meant to go
And look myself, but you know how it is:
It doesn't seem so much to climb a mountain
You've worked around the foot of all your life.
What would I do? Go in my overalls,
With a big stick, the same as when the cows
Haven't come down to the bars at milking time?
Or with a shotgun for a stray black bear?
'Twouldn't seem real to climb for climbing it.'
'I shouldn't climb it if I didn't want to-v Not for the sake of climbing. What's its name?'
'We call it Hor: I don't know if that's right.'
'Can one walk round it? Would it be too far?'
'You can drive round and keep in Lunenburg,
But it's as much as ever you can do,
The boundary lines keep in so close to it.
Hor is the township, and the township's Hor-
And a few houses sprinkled round the foot,
Like boulders broken off the upper cliff,
Rolled out a little farther than the rest.'
'Warm in December, cold in June, you say?'
'I don't suppose the water's changed at all.
You and I know enough to know it's warm
Compared with cold, and cold compared with warm.
But all the fun's in how you say a thing.'
'You've lived here all your life?'
'Ever since Hor
Was no bigger than a --' What, I did not hear.
He drew the oxen toward him with light touches
Of his slim goad on nose and offside flank,
Gave them their marching orders, and was moving.",North of Boston,1914
A hundred Collars,"Lancaster bore him—such a little town,
Such a great man. It doesn’t see him often
Of late years, though he keeps the old homestead
And sends the children down there with their mother
To run wild in the summer—a little wild.
Sometimes he joins them for a day or two
And sees old friends he somehow can’t get near.
They meet him in the general store at night,
Pre-occupied with formidable mail,
Rifling a printed letter as he talks.
They seem afraid. He wouldn’t have it so:
Though a great scholar, he’s a democrat,
If not at heart, at least on principle.
Lately when coming up to Lancaster
His train being late he missed another train
And had four hours to wait at Woodsville Junction
After eleven o’clock at night. Too tired
To think of sitting such an ordeal out,
He turned to the hotel to find a bed.
“No room,” the night clerk said. “Unless——”
Woodsville’s a place of shrieks and wandering lamps
And cars that shook and rattle—and one hotel.
“You say ‘unless.’“
“Unless you wouldn’t mind
Sharing a room with someone else.”
“Who is it?”
“A man.”
“So I should hope. What kind of man?”
“I know him: he’s all right. A man’s a man.
Separate beds of course you understand.”
The night clerk blinked his eyes and dared him on.
“Who’s that man sleeping in the office chair?
Has he had the refusal of my chance?”
“He was afraid of being robbed or murdered.
What do you say?”
“I’ll have to have a bed.”
The night clerk led him up three flights of stairs
And down a narrow passage full of doors,
At the last one of which he knocked and entered.
“Lafe, here’s a fellow wants to share your room.”
“Show him this way. I’m not afraid of him.
I’m not so drunk I can’t take care of myself.”
The night clerk clapped a bedstead on the foot.
“This will be yours. Good-night,” he said, and went.
“Lafe was the name, I think?”
“Yes, Layfayette.
You got it the first time. And yours?”
“Magoon.
Doctor Magoon.”
“A Doctor?”
“Well, a teacher.”
“Professor Square-the-circle-till-you’re-tired?
Hold on, there’s something I don’t think of now
That I had on my mind to ask the first
Man that knew anything I happened in with.
I’ll ask you later—don’t let me forget it.”
The Doctor looked at Lafe and looked away.
A man? A brute. Naked above the waist,
He sat there creased and shining in the light,
Fumbling the buttons in a well-starched shirt.
“I’m moving into a size-larger shirt.
I’ve felt mean lately; mean’s no name for it.
I just found what the matter was to-night:
I’ve been a-choking like a nursery tree
When it outgrows the wire band of its name tag.
I blamed it on the hot spell we’ve been having.
’Twas nothing but my foolish hanging back,
Not liking to own up I’d grown a size.
Number eighteen this is. What size do you wear?”
The Doctor caught his throat convulsively.
“Oh—ah—fourteen—fourteen.”
“Fourteen! You say so!
I can remember when I wore fourteen.
And come to think I must have back at home
More than a hundred collars, size fourteen.
Too bad to waste them all. You ought to have them.
They’re yours and welcome; let me send them to you.
What makes you stand there on one leg like that?
You’re not much furtherer than where Kike left you.
You act as if you wished you hadn’t come.
Sit down or lie down, friend; you make me nervous.”
The Doctor made a subdued dash for it,
And propped himself at bay against a pillow.
“Not that way, with your shoes on Kike’s white bed.
You can’t rest that way. Let me pull your shoes off.”
“Don’t touch me, please—I say, don’t touch me, please.
I’ll not be put to bed by you, my man.”
“Just as you say. Have it your own way then.
‘My man’ is it? You talk like a professor.
Speaking of who’s afraid of who, however,
I’m thinking I have more to lose than you
If anything should happen to be wrong.
Who wants to cut your number fourteen throat!
Let’s have a show down as an evidence
Of good faith. There is ninety dollars.
Come, if you’re not afraid.”
“I’m not afraid.
There’s five: that’s all I carry.”
“I can search you?
Where are you moving over to? Stay still.
You’d better tuck your money under you
And sleep on it the way I always do
When I’m with people I don’t trust at night.”
“Will you believe me if I put it there
Right on the counterpane—that I do trust you?”
“You’d say so, Mister Man.—I’m a collector.
My ninety isn’t mine—you won’t think that.
I pick it up a dollar at a time
All round the country for the Weekly News,
Published in Bow. You know the Weekly News?”
“Known it since I was young.”
“Then you know me.
Now we are getting on together—talking.
I’m sort of Something for it at the front.
My business is to find what people want:
They pay for it, and so they ought to have it.
Fairbanks, he says to me—he’s editor—
Feel out the public sentiment—he says.
A good deal comes on me when all is said.
The only trouble is we disagree
In politics: I’m Vermont Democrat—
You know what that is, sort of double-dyed;
The News has always been Republican.
Fairbanks, he says to me, ‘Help us this year,’
Meaning by us their ticket. ‘No,’ I says,
‘I can’t and won’t. You’ve been in long enough:
It’s time you turned around and boosted us.
You’ll have to pay me more than ten a week
If I’m expected to elect Bill Taft.
I doubt if I could do it anyway.’“
“You seem to shape the paper’s policy.”
“You see I’m in with everybody, know ’em all.
I almost know their farms as well as they do.”
“You drive around? It must be pleasant work.”
“It’s business, but I can’t say it’s not fun.
What I like best’s the lay of different farms,
Coming out on them from a stretch of woods,
Or over a hill or round a sudden corner.
I like to find folks getting out in spring,
Raking the dooryard, working near the house.
Later they get out further in the fields.
Everything’s shut sometimes except the barn;
The family’s all away in some back meadow.
There’s a hay load a-coming—when it comes.
And later still they all get driven in:
The fields are stripped to lawn, the garden patches
Stripped to bare ground, the apple trees
To whips and poles. There’s nobody about.
The chimney, though, keeps up a good brisk smoking.
And I lie back and ride. I take the reins
Only when someone’s coming, and the mare
Stops when she likes: I tell her when to go.
I’ve spoiled Jemima in more ways than one.
She’s got so she turns in at every house
As if she had some sort of curvature,
No matter if I have no errand there.
She thinks I’m sociable. I maybe am.
It’s seldom I get down except for meals, though.
Folks entertain me from the kitchen doorstep,
All in a family row down to the youngest.”
“One would suppose they might not be as glad
To see you as you are to see them.”
“Oh,
Because I want their dollar. I don’t want
Anything they’ve not got. I never dun.
I’m there, and they can pay me if they like.
I go nowhere on purpose: I happen by.
Sorry there is no cup to give you a drink.
I drink out of the bottle—not your style.
Mayn’t I offer you——?”
“No, no, no, thank you.”
“Just as you say. Here’s looking at you then.—
And now I’m leaving you a little while.
You’ll rest easier when I’m gone, perhaps—
Lie down—let yourself go and get some sleep.
But first—let’s see—what was I going to ask you?
Those collars—who shall I address them to,
Suppose you aren’t awake when I come back?”
“Really, friend, I can’t let you. You—may need them.”
“Not till I shrink, when they’ll be out of style.”
“But really I—I have so many collars.”
“I don’t know who I rather would have have them.
They’re only turning yellow where they are.
But you’re the doctor as the saying is.
I’ll put the light out. Don’t you wait for me:
I’ve just begun the night. You get some sleep.
I’ll knock so-fashion and peep round the door
When I come back so you’ll know who it is.
There’s nothing I’m afraid of like scared people.
I don’t want you should shoot me in the head.
What am I doing carrying off this bottle?
There now, you get some sleep.”
He shut the door.
The Doctor slid a little down the pillow.",North of Boston,1914
